ID,PageRank
1,0.0001389966733507324
2,2.8353484335078534e-05
4098,2.833243077041718e-06
4,3.713483090635881e-05
3,4.494542900692714e-06
6,1.3565733411861793e-05
7,4.8311861809766216e-05
8,3.1415775284058693e-06
9,1.4800599836310474e-06
10,5.056729739309831e-06
4107,2.193419711352854e-05
13,1.0004962089304287e-05
2063,1.4800599836310474e-06
4112,1.4800599836310474e-06
17,1.3565733411861793e-05
16,3.3952121945350086e-06
19,1.4800599836310474e-06
2067,1.012491258781196e-05
21,8.692544124523896e-06
2070,1.330505900019513e-05
20,2.1868625724512135e-06
23,1.2810333119076182e-05
4121,1.4800599836310474e-06
2073,1.4800599836310474e-06
4119,2.208861489245394e-06
2076,5.735057022462518e-06
25,6.943756657515605e-05
29,1.7769305962723201e-06
2078,3.983845718448824e-06
2080,1.959395384943631e-05
33,1.7126540194340504e-05
2082,7.728896299535686e-06
35,3.598322609407074e-05
2079,2.8936651612713822e-06
39,2.8497520906358275e-05
2087,1.4800599836310474e-06
41,1.4774599678241254e-05
4136,1.4800599836310474e-06
4141,1.4800599836310474e-06
45,2.8936651612713822e-06
4144,4.718793397412631e-06
51,3.195329663341476e-05
4150,1.4800599836310474e-06
57,3.362592692252973e-05
60,1.6312345112136475e-05
61,1.4800599836310474e-06
62,4.494542900692714e-06
2110,4.644958024710737e-06
64,1.6654719111410752e-05
4163,1.4800599836310474e-06
4164,1.4800599836310474e-06
2118,5.5051851347556585e-05
71,1.4800599836310474e-06
4168,1.4800599836310474e-06
4172,6.925394333050572e-05
2125,2.414096172378707e-05
2127,5.349977561513883e-06
80,1.4800599836310474e-06
2128,1.4800599836310474e-06
81,2.8936651612713814e-06
2132,1.4800599836310474e-06
4181,3.195329663341472e-05
88,1.4800599836310474e-06
93,3.1415775284058693e-06
2142,1.7156608465711026e-06
2144,1.4800599836310474e-06
101,2.1868625724512144e-06
4198,3.195329663341498e-05
4197,5.014072927731885e-06
104,8.197442704028519e-06
4205,3.195329663341574e-05
2158,1.8334612780411311e-06
111,3.195329663341495e-05
109,2.1868625724512135e-06
113,1.4800599836310474e-06
4212,1.4800599836310474e-06
2165,9.265997716785625e-06
119,5.324229515294101e-06
2167,9.405483563755287e-06
4217,2.8936651612713805e-06
4219,1.4800599836310474e-06
2173,1.7769305962723201e-06
2174,1.4800599836310474e-06
127,4.0235513870866615e-06
2176,6.816818092469277e-06
4226,1.4800599836310474e-06
132,1.4800599836310474e-06
134,1.833461278041131e-06
135,9.556793786254454e-06
4235,3.5688168184021923e-06
2188,6.139116934160078e-06
4237,1.4800599836310474e-06
4238,4.718793397412631e-06
143,2.8658058455653437e-06
144,0.000117422025965259
4240,1.4800599836310474e-06
149,1.4800599836310474e-06
4245,1.4800599836310474e-06
2198,4.2363310015012365e-06
2200,2.804389478201478e-06
159,4.307270338911715e-06
160,3.118715713648322e-06
4257,5.9768181455400176e-06
4261,8.681893451361706e-06
2214,3.985336126167964e-06
167,9.049388803504828e-06
4266,1.4800599836310474e-06
178,5.26375493110693e-06
2230,1.8817616589959926e-05
184,3.195329663341485e-05
4281,1.4800599836310474e-06
2240,1.4800599836310474e-06
2241,3.195329663341509e-05
192,2.8936651612713822e-06
4291,3.333998298860828e-05
197,1.3565733411861793e-05
198,4.158956264865497e-06
2246,8.525772243321169e-06
200,4.513590053769541e-05
201,2.8936651612713822e-06
202,0.00012469043877648742
4301,1.4800599836310474e-06
4304,1.4800599836310474e-06
4308,1.4800599836310474e-06
2262,2.8936651612713822e-06
215,1.4439303480920231e-05
2266,2.1868625724512135e-06
219,1.4800599836310474e-06
223,1.1212469626760544e-05
224,1.4800599836310474e-06
4320,5.3242295152940985e-06
4322,1.4800599836310474e-06
230,2.001115576831422e-05
2284,2.8936651612713822e-06
237,1.4800599836310474e-06
241,1.6940353284852877e-05
242,3.1953296633415026e-05
245,1.7957964329339e-05
2296,3.814967991905365e-06
249,9.576881501591328e-06
4348,2.984663033735382e-06
2303,1.4800599836310474e-06
256,2.8936651612713822e-06
2305,3.741990932585209e-05
4354,2.833243077041718e-06
4353,1.4800599836310474e-06
257,1.708758345935421e-05
4356,2.984663033735382e-06
2311,1.4800599836310474e-06
2313,5.0173842490746135e-05
4365,1.4800599836310474e-06
270,3.195329663341516e-05
4367,1.4800599836310474e-06
4369,1.4800599836310474e-06
278,2.8936651612713805e-06
279,1.4800599836310474e-06
280,3.1953296633415304e-05
283,5.324229515294106e-06
284,4.023551387086664e-06
2342,3.1953296633415006e-05
2344,1.4800599836310474e-06
4393,4.186426170452388e-06
2347,1.3442430285616924e-05
300,3.1953296633415046e-05
4395,3.195329663341499e-05
4396,3.195329663341484e-05
2349,1.3020803564366557e-05
304,1.2567109536206367e-05
4400,4.644049154862509e-06
309,2.5058941811221586e-06
313,1.4800599836310474e-06
4415,1.4800599836310474e-06
2370,3.195329663341492e-05
4421,1.4800599836310474e-06
2377,3.339252992914196e-05
330,1.4800599836310474e-06
340,1.4800599836310474e-06
2388,3.6224666668857284e-06
342,5.738500607043497e-06
353,1.4800599836310474e-06
2404,2.8936651612713822e-06
2409,1.4800599836310474e-06
361,9.154803394727138e-05
363,4.158956264865504e-06
4458,1.4800599836310474e-06
2419,1.833461278041132e-06
2427,2.8936651612713822e-06
4482,2.8936651612713822e-06
2437,2.8936651612713814e-06
2438,1.331767417700783e-05
395,4.4571107631558035e-06
397,1.4800599836310474e-06
2451,1.4800599836310474e-06
4499,9.92084531275604e-06
410,1.4800599836310474e-06
415,1.3757549157802493e-05
418,3.1953296633415006e-05
4515,3.801414374213649e-06
2470,1.4800599836310474e-06
4519,1.4800599836310474e-06
2472,1.4800599836310474e-06
425,7.506841161211651e-06
4521,1.4800599836310474e-06
4522,1.7156608465711029e-06
4524,1.4800599836310474e-06
4531,1.4800599836310474e-06
2484,2.8936651612713822e-06
2485,9.262443692466579e-06
2495,3.195329663341537e-05
448,2.8658058455653437e-06
4546,3.589895927009512e-06
451,3.195329663341501e-05
2498,8.210310653556574e-06
4549,1.4800599836310474e-06
4553,1.4800599836310474e-06
2507,1.4800599836310474e-06
4559,4.307270338911716e-06
2512,1.4800599836310474e-06
465,5.324229515294091e-06
468,1.4800599836310474e-06
2516,1.4800599836310474e-06
4569,2.1868625724512135e-06
2523,1.4800599836310474e-06
475,2.023365651306916e-06
4573,1.4800599836310474e-06
481,1.2948838308037397e-05
4579,1.4800599836310474e-06
484,2.8936651612713814e-06
486,1.4800599836310474e-06
489,3.1953296633414884e-05
490,3.1415775284058693e-06
492,6.144725866491518e-06
2540,1.4800599836310474e-06
4590,1.4800599836310474e-06
4591,1.4800599836310474e-06
4592,1.4800599836310474e-06
493,1.7769305962723201e-06
4594,1.4800599836310474e-06
499,3.19532966334149e-05
500,7.676075354902369e-06
2549,1.4800599836310474e-06
2543,2.8936651612713814e-06
2548,3.53047359748929e-06
4604,2.8936651612713822e-06
4609,1.4800599836310474e-06
4611,9.2262638999164e-06
4612,1.4800599836310474e-06
518,3.195329663341527e-05
2567,6.270647798669915e-05
520,1.4800599836310474e-06
2566,3.138022230319551e-05
2568,6.271966290991946e-05
2569,1.4800599836310474e-06
4615,1.4800599836310474e-06
2570,2.11686841984894e-06
2574,4.63848375958728e-06
523,2.8936651612713822e-06
2571,2.753676856066833e-06
529,3.1953296633414904e-05
530,2.1868625724512135e-06
533,1.4800599836310474e-06
534,2.8043894782014765e-06
4631,1.4800599836310474e-06
535,1.7769305962723201e-06
2585,2.1868625724512135e-06
537,4.718793397412631e-06
